id,recipient_name,recipient_email,addr1,addr2,state,district,postal_code,item,quantity,created_at
1,,,,,,,0,,0,2022-12-29 14:57:17
2,Mohamed,younus@gmail.com,123,456,Tamil Nadu,Chennai,600005,choculate,1,2022-12-29 14:58:18
3,Mohamed,Youus@gmail.com,dnc,idcn,ANDHRA PRADESH,,138,chn,12,2022-12-30 15:30:56
5,dvbsdjbsj,jdvdjvjd@gmail.com,jdvdjvjd,djvjdvdj,,,123,dnjdvnj,123,2022-12-30 18:21:38
6," hdfv ",tv@gmail.com,"f vd ",nfv ddv,,,123,"fjv ",12,2022-12-30 18:24:21
7,hfb jddj,udncdk@gmail.com,vjdjn,jkdbj,,,123,djv,2,2022-12-30 18:29:46
8," vjkdv",ddfn@gmail.com,jv d," v dj",,,123,hfh vj,12,2022-12-30 18:31:36
9,d cd,c@gmail.com,djcbj,dhbcj,,,123,jdbcj,12,2022-12-30 18:36:35
10,jjjjjjj,dhcb@djnbc.com,dbj,jdj,,,23,dcj,1,2022-12-30 18:43:39
11,myname,myname@gmail.com,mayn,rayte,,,1735,kndn,13,2022-12-30 18:46:51
12,dvbsdjbsj,Youus1222@gmail.com,123,hdc,,,98493,"fjv ",12,2022-12-30 18:48:02
13,hsdbv,hdvbs@gmail.com,hdbvj,db,JAMMU AND KASHMIR,CHITTOOR,0,bcjsd,12,2022-12-30 19:05:27
14,Mohamed,t122v@gmail.com,kdvmd,kvkdnv,JAMMU AND KASHMIR,KABIRDHAM,124401,kdcme,10,2023-01-01 14:01:59
15,tawaab,tawaabyounus@123,123,345,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,744302,jddknc,1,2023-01-02 11:57:22
16,jdc m,dbj," sj"," dj",BIHAR,BEGUSARAI,848203,kjfc,0,2023-01-02 13:10:32
17,Mohamed,"dmd ",jv d,jkdbj,,District,0,jwebd,0,2023-01-02 13:20:21
25,younus,tadba@gmail.com,bdj,nck,DELHI,SHAHDARA,110032,12jdc,12,2023-01-02 14:18:14
26,commons,tv12@gmail.com,sskn,jfiw,DELHI,CENTRAL,110001,id,12,2023-01-02 14:19:26
29,dvbsdjbsj,youn1111us@gmail.com,"f vd ",djvjdvdj,GUJARAT,PORBANDAR,360576,Beef - Tenderloin - Aa,4,2023-01-02 18:34:59
30,Mohamed,younu333333s@gmail.com,ghf,bv,TAMIL NADU,TIRUCHIRAPPALLI,0,Dome Lid Clear P92008h,4,2023-01-02 18:51:56
